E(MeV)  pendfb7/Si30:2
0.192118105  9.65408601
0.19299342  9.08516651
0.193868735  8.58450609
0.19474405  8.14383082
0.19574441  7.70032103
0.19674477  7.31321088
0.19774513  6.97364138
0.19874549  6.67420953
0.19999594  6.34635906
0.20124639  6.06354887
0.20249684  5.81531629
0.20399738  5.55704928
0.20574801  5.29950592
0.20749864  5.07877634
0.20949936  4.86340093
0.21150008  4.67910105
0.21400098  4.48373943
0.21650188  4.317428
0.21950296  4.14945661
0.22300422  3.98659726
0.22700566  3.83307132
0.2310071  3.7080294
0.233445478  3.65989957
0.233913321  3.66792852
0.23417766  3.68638143
0.234336264  3.70935421
0.234494867  3.7517175
0.23461043  3.80724362
0.234678003  3.85780741
0.234736108  3.91938239
0.234779687  3.98223905
0.234823265  4.0664284
0.234852318  4.13938338
0.23488137  4.23110953
0.234911876  4.35513555
0.234932213  4.45916653
0.234952549  4.58618312
0.234969981  4.71876663
0.234984507  4.85054148
0.234999033  5.00664405
0.235013559  5.19327944
0.235024454  5.35816968
0.235035349  5.54931691
0.235046244  5.77238214
0.235057138  6.03451881
0.235068033  6.34493633
0.235075296  6.58435984
0.235084012  6.91290414
0.235091638  7.24391549
0.235099264  7.62318051
0.235106891  8.05946791
0.235114517  8.56293841
0.235121417  9.08633248
0.235126864  9.55176309
0.235132312  10.0691134
0.235137759  10.6436453
0.235143206  11.2808406
0.235148653  11.9856648
0.235153883  12.7297931
0.235162598  14.1213872
0.235169571  15.3680906
0.235176543  16.7180384
0.23519688  20.8933479
0.235202691  21.9974036
0.235208501  22.9760241
0.235212859  23.5978987
0.235217217  24.1020275
0.235221575  24.4719406
0.235226223  24.704507
0.23523  24.7640188
0.235233313  24.7190808
0.235238077  24.4975628
0.235241912  24.1905286
0.23524627  23.7132827
0.235250628  23.1147546
0.235259634  21.5764595
0.235267187  20.0836515
0.235282077  17.0096925
0.235288033  15.8370732
0.235294643  14.6176266
0.23530009  13.689054
0.235305537  12.8339972
0.235310985  12.052707
0.235316432  11.3432647
0.235321879  10.7016117
0.235327327  10.1227481
0.235332775  9.60143864
0.235338222  9.13232499
0.235343669  8.71003553
0.235349116  8.32961501
0.23535529  7.94330326
0.235361464  7.59895935
0.235367638  7.29130924
0.235373811  7.0157879
0.235383072  6.6540034
0.235392332  6.34429998
0.235402137  6.06307014
0.235413032  5.79675303
0.235423927  5.57010698
0.235434821  5.37585619
0.235449347  5.15744602
0.235463874  4.97602557
0.2354784  4.82382585
0.235492926  4.69496016
0.235514715  4.53591048
0.23553941  4.39333729
0.235564104  4.28012822
0.235588799  4.18870063
0.23562802  4.07601796
0.235671598  3.98347717
0.235715177  3.91412447
0.235761661  3.85764017
0.235825577  3.79992489
0.235930166  3.73622597
0.23615968  3.66099481
0.236377574  3.62423538
0.23674073  3.59010116
0.2375542  3.55107823
0.2398784  3.48932299
0.245328408  3.38265995
0.252566601  3.26904927
0.261029357  3.1624283
0.271625003  3.05566878
0.2847032  2.95074901
0.2995424  2.85366939
0.30053855  2.86222376
0.30101258  2.88104757
0.30127364  2.90329078
0.30152096  2.94135522
0.30168584  2.9843229
0.3018095  3.03293888
0.30189194  3.07757761
0.30197438  3.13663772
0.30205682  3.2165281
0.30211865  3.29594703
0.30218048  3.39921724
0.302232005  3.51080921
0.302266355  3.60237903
0.302300705  3.7116479
0.302335055  3.84321495
0.302360818  3.9601375
0.30238658  4.09633871
0.302412343  4.25604248
0.302438105  4.44459634
0.30246215  4.652654
0.30248276  4.86110639
0.30250337  5.10319067
0.30252398  5.3857075
0.30253772  5.60067487
0.30255146  5.84054565
0.3025652  6.10895723
0.302578082  6.3901688
0.302590963  6.70383854
0.302603844  7.05427502
0.302616725  7.44630049
0.302629607  7.88529722
0.302642488  8.37700048
0.302655369  8.92755466
0.30266825  9.54310952
0.302681132  10.2294611
0.302694013  10.9911476
0.3027026  11.5421784
0.30271634  12.4956174
0.30273008  13.5319816
0.30277817  17.4963499
0.302790536  18.4494674
0.302800841  19.1586807
0.302811146  19.7598309
0.302818016  20.0872561
0.302828046  20.4438853
0.302838076  20.6426321
0.302844809  20.6829714
0.302853311  20.6262116
0.302861813  20.452408
0.302870915  20.1449523
0.30288122  19.6620526
0.302891525  19.0596198
0.302904578  18.1678707
0.302947859  14.8197076
0.302962286  13.7439944
0.302976713  12.7401915
0.30299114  11.8202173
0.303004022  11.0725943
0.303016903  10.3934466
0.303029784  9.7792813
0.303042665  9.22545982
0.303055547  8.72676264
0.303068428  8.27798296
0.303081309  7.87397214
0.30309419  7.50995924
0.303107072  7.18156843
0.303119953  6.88493681
0.303136269  6.54929144
0.303151727  6.26727795
0.303167184  6.01545977
0.303182642  5.78983501
0.303205828  5.49348737
0.303229014  5.239609
0.3032522  5.02075455
0.303277963  4.81141418
0.3033209  4.5251467
0.30335525  4.33992608
0.3033896  4.18466064
0.30342395  4.05325089
0.3034583  3.94105407
0.303509825  3.80118634
0.30356822  3.67445223
0.30363005  3.56712974
0.30369188  3.48044711
0.30377432  3.38856626
0.30385676  3.31646422
0.30398042  3.23406947
0.30410408  3.17283826
0.3042827  3.10855172
0.30446132  3.06247371
0.30470864  3.01713087
0.3051071  2.96985912
0.30562235  2.93276297
0.3064124  2.89959699
0.3078551  2.86730514
0.3108092  2.83391579
0.3182288  2.78770152
0.334105  2.71916979
0.36018655  2.63187969
0.39812335  2.52897413
0.40239124  2.52338964
0.40539457  2.53138169
0.40697527  2.55044017
0.40792369  2.57571804
0.40855597  2.60448756
0.409148733  2.64717545
0.40950439  2.68439809
0.409860048  2.73542224
0.410097153  2.78019995
0.410334258  2.83691308
0.410571363  2.9097656
0.410749192  2.97854981
